akun,produk,jumlah,note
./akun2.json,https://www.tokopedia.com/multikomputer201/kabel-hdmi-hp-dhc-hd001-uhd-4k-1meter-cable-hdmi-hp-dhc-hd001-1-meter,1,mohon jangan dicantunmkan nota/invoice
./akun2.json,https://www.tokopedia.com/multikomputer201/kabel-hdmi-hp-dhc-hd001-uhd-4k-1meter-cable-hdmi-hp-dhc-hd001-1-meter,2,mohon jangan dicantunmkan nota/invoice
./akun2.json,https://www.tokopedia.com/multikomputer201/kabel-hdmi-hp-dhc-hd001-uhd-4k-1meter-cable-hdmi-hp-dhc-hd001-1-meter,3,mohon jangan dicantunmkan nota/invoice
./akun2.json,https://www.tokopedia.com/multikomputer201/kabel-hdmi-hp-dhc-hd001-uhd-4k-1meter-cable-hdmi-hp-dhc-hd001-1-meter,4,mohon jangan dicantunmkan nota/invoice
./akun2.json,https://www.tokopedia.com/multikomputer201/kabel-hdmi-hp-dhc-hd001-uhd-4k-1meter-cable-hdmi-hp-dhc-hd001-1-meter,5,mohon jangan dicantunmkan nota/invoice
